"The Keys to Maramon","https://www.kultboy.com/testbericht-uebersicht/3900/",50,,,37,50,,,,,,,,,,,45.67,45.67
"WWF WrestleMania","https://www.kultboy.com/testbericht-uebersicht/1818/",50,,,62,58,,,,,,,,,22,53,48.00,48.00
"Deliverance: Stormlord II","https://www.kultboy.com/testbericht-uebersicht/536/",50,,,,66,,,,,,,,,51,70,55.67,55.67
"Greg Norman's Ultimate Golf","https://www.kultboy.com/testbericht-uebersicht/3023/",50,,,,50,,,,,,,,,52,,50.67,50.67
"Windwalker","https://www.kultboy.com/testbericht-uebersicht/3222/",67,,,58,16,,,,,,,,,,,47.00,47.00
"Snowstrike","https://www.kultboy.com/testbericht-uebersicht/3234/",40,,,43,41,,,,,,,,,29,,38.25,38.25
"Subbuteo: The Computer Game","https://www.kultboy.com/testbericht-uebersicht/2947/",40,,,63,33,,,,,,,,,40,,44.00,44.00
"Warlock: The Avenger","https://www.kultboy.com/testbericht-uebersicht/2647/",67,,,60,83,,,,,,,,72,67,,69.80,69.80
"Back to the Future Part II","https://www.kultboy.com/testbericht-uebersicht/2261/",40,,,62,,,,,,,,,,35,46,45.67,45.67
"Continental Circus","https://www.kultboy.com/testbericht-uebersicht/1395/",65,,,65,50,,,,,,,,,74,,63.50,63.50
"Weird Dreams","https://www.kultboy.com/testbericht-uebersicht/995/",66,,,76,50,,,,,,,,,66,64,64.50,64.50
"Vendetta","https://www.kultboy.com/testbericht-uebersicht/385/",40,,,,66,,,,,,,,,,,53.00,
"Battle Chess","https://www.kultboy.com/testbericht-uebersicht/556/",68,,,68,75,,,,,,,,,,72,70.33,70.33
"Hägar: Der Schreckliche","https://www.kultboy.com/testbericht-uebersicht/3011/",65,,,70,75,,,,,,,,,65,,68.75,68.75
"Winter Supersports 92","https://www.kultboy.com/testbericht-uebersicht/148/",30,,,,,,,,,,,,,7,,18.50,
"Super Monaco GP","https://www.kultboy.com/testbericht-uebersicht/553/",70,,,75,50,,,,,,,,96,70,76,72.20,72.20
"Hook (GB + NES + C64)","https://www.kultboy.com/testbericht-uebersicht/4206/",78,,,,75,,,,,,,,78,35,,66.50,66.50
"Spirit of Adventure","https://www.kultboy.com/testbericht-uebersicht/1065/",82,,,82,83,,,,,,,,,,,82.33,82.33
"Manchester United Football Club","https://www.kultboy.com/testbericht-uebersicht/745/",85,,,85,75,,,,,,,,,48,,73.25,73.25
"The New Zealand Story","https://www.kultboy.com/testbericht-uebersicht/245/",70,,,,25,,,,,,,,,70,70,55.00,55.00
"adidas Championship Football","https://www.kultboy.com/testbericht-uebersicht/93/",20,,,62,50,,,,,,,,,25,,39.25,39.25
"Line of Fire!","https://www.kultboy.com/testbericht-uebersicht/1683/",20,,,21,41,,,,,,,,,11,,23.25,23.25
"Lords","https://www.kultboy.com/testbericht-uebersicht/3821/",20,,,,,,,,,,,,,42,,31.00,
"Football Manager: World Cup Edition","https://www.kultboy.com/testbericht-uebersicht/4635/",20,,,41,25,,,,,,,,,18,,26.00,26.00
"Galaxy Force","https://www.kultboy.com/testbericht-uebersicht/3357/",69,,,69,16,,,,,,,,,32,,46.50,46.50
"Atomic Robo-Kid","https://www.kultboy.com/testbericht-uebersicht/2110/",69,,,59,33,,,,,,,,,62,,55.75,55.75
"Monty Python's Flying Circus","https://www.kultboy.com/testbericht-uebersicht/966/",10,,,56,41,,,,,,,,,43,,37.50,37.50
"Days of Thunder","https://www.kultboy.com/testbericht-uebersicht/976/",10,,,35,33,,,,,,,,,29,31,26.75,26.75
